century,quirinal,-0.3176,fourth,0.3148,signo,-0.3137,galerius,-0.3137,293-305,-0.3137,tetrarchs,-0.3137,305,-0.3078,puteoli,-0.2914,populus,-0.2775,337,-0.2739,340-350,-0.2716,rosini,-0.2716,valentinian,-0.2702,constantine,-0.2582,364,-0.2505,constantius,-0.2504,base,-0.2414,military,-0.2373,people,-0.2316
marble,porphyry,-0.4779,stone,-0.4617,local,-0.4617,bronze,-0.3846,dacia,-0.2517,portrait,0.2299,alabaster,-0.2249,belgica,-0.2073,yes,0.2041,provinces,-0.2013,danube,-0.2013,head,0.1951,gilded,-0.1945,ripensis,-0.1945,emperor,-0.1937,man,0.1914,egypt,-0.1887,fibula,-0.1803,welschbillig,-0.1775
portrait,head,0.4426,statue,-0.3998,tunic,-0.2997,porphyry,-0.2977,cloak,-0.2832,chlamys,-0.2448,man,0.2302,marble,0.2299,group,-0.2297,sleeved,-0.2280,cities,-0.2148,institutions,-0.2148,officials,-0.2148,fibula,-0.2090,provincial,-0.2081,footwear,-0.2026,wearing,-0.1992,shoes,-0.1956,open,-0.1956
male,female,-0.9282,woman,-0.8025,braid,-0.6598,central,-0.4366,encircling,-0.4346,bearded,0.4311,man,0.3880,short,0.3788,veiled,-0.2928,headgear,-0.2758,empress,-0.2341,clean-shaven,0.2317,forward,0.2257,stubble,0.2257,brushed,0.2238,short-cropped,0.2078,braids,-0.2024,broad,-0.2024,beard,0.1996
head,tunic,-0.6929,cloak,-0.6072,statue,-0.5921,chiton,-0.5396,portrait,0.4426,standing,-0.4182,mantle,-0.4145,footwear,-0.4133,himation,-0.3852,sleeved,-0.3740,toga,-0.3592,scroll,-0.3267,boots,-0.3258,headless,-0.3197,closed,-0.3172,bust,-0.3126,chlamys,-0.3058,bundle,-0.2784,armour,-0.2784
fourth,century,0.3148,early,0.2980,sixth,-0.2699,350,0.2188,fifth,-0.2100,550,-0.2065,500,-0.2032,mid-fourth,-0.1925,wreath-style,-0.1865,260,-0.1847,ephesus,-0.1743,antique,-0.1664,group,-0.1644,minor,-0.1627,asia,-0.1627,600,-0.1573,mop,-0.1567,colobium,-0.1536,475,-0.1486
unknown,awarder,0.4955,uncertain,0.4955,balkans,0.4500,provenance,0.4287,minor,-0.3758,asia,-0.3758,macedonia,0.3619,epirus,0.3619,thrace,0.3619,greece,0.3525,achaea,0.3459,provinces,0.2341,danube,0.2341,aphrodisias,-0.2271,caria,-0.2205,corinth,0.2200,yes,-0.2180,athens,0.2043,ostia,-0.2023
bearded,stubble,0.5166,beard,0.4547,man,0.4371,male,0.4311,clean-shaven,-0.4238,female,-0.4123,short-cropped,0.3969,woman,-0.3475,short,0.3450,long,0.2949,braid,-0.2882,statue,-0.2271,hair,0.2217,encircling,-0.1899,brushed,0.1821,forward,0.1819,central,-0.1811,late,0.1810,headless,-0.1735
man,beard,0.4388,bearded,0.4371,female,-0.3928,hair,0.3921,male,0.3880,woman,-0.3361,braid,-0.2789,short,0.2761,forward,0.2660,brushed,0.2601,emperor,-0.2421,portrait,0.2302,head,0.2120,short-cropped,0.2080,statue,-0.2055,stubble,0.1974,central,-0.1954,marble,0.1914,encircling,-0.1837
late,280,0.3716,early,0.2768,400,-0.2476,later,-0.2378,antique,0.2329,300,-0.2289,380,0.1901,275,0.1848,clean-shaven,-0.1826,bearded,0.1810,colobium,0.1778,short-cropped,0.1761,tetrarch,0.1611,constantine,-0.1605,270,0.1589,century,0.1471,500,-0.1423,sleeved,0.1396,375,0.1362
